"country,region,year,ind_malaria_inc,rain_mm,temp_c,ndvi,water_safe,gdp,health_exp,pop_density,urban_pct"
"Ghana,Africa,2017,240.48,1112.84,27.51,0.50,33.42,5170.96,2.69,131.88,3.17"
"Ghana,Africa,2018,165.67,1206.84,27.15,0.51,34.74,5536.50,2.43,134.65,3.02"
"Ghana,Africa,2019,201.04,1317.98,27.42,0.51,36.07,6002.55,3.25,137.38,2.92"
"Ghana,Africa,2020,170.84,1116.60,27.53,0.50,37.42,6047.30,4.43,140.15,2.87"
"Ghana,Africa,2021,176.75,1323.60,27.68,0.52,38.79,6607.50,3.86,142.92,2.81"
"Ghana,Africa,2022,158.05,1259.61,27.18,0.51,40.16,7208.16,3.67,145.69,2.90"
"Ghana,Africa,2023,168.52,1329.93,28.96,0.50,41.54,7556.42,2.95,148.50,2.88"
"Guinea-Bissau,Africa,2015,86.39,1820.15,27.32,0.58,22.08,1729.94,8.13,63.53,3.59"
"Guinea-Bissau,Africa,2016,87.79,1529.67,27.71,0.60,22.36,1824.37,8.33,65.15,3.52"
"Guinea-Bissau,Africa,2017,83.48,1689.25,27.80,0.58,22.64,2081.81,7.00,66.75,3.44"
"Guinea-Bissau,Africa,2018,91.27,1581.26,27.35,0.57,22.91,2057.97,7.28,68.36,3.37"
"Guinea-Bissau,Africa,2019,83.77,1560.75,27.87,0.59,23.18,2247.31,7.15,69.97,3.33"
"Guinea-Bissau,Africa,2020,0.00,2018.11,28.05,0.58,23.44,2339.79,8.99,71.60,3.26"
"Guinea-Bissau,Africa,2021,0.00,1672.27,28.02,0.61,23.70,2522.77,8.40,73.22,3.20"
"Guinea-Bissau,Africa,2022,87.94,1808.64,27.61,0.60,23.79,2788.84,8.34,74.88,3.20"
"Guinea-Bissau,Africa,2023,54.84,1774.58,28.53,0.62,23.89,2989.67,8.82,76.58,3.19"
"Madagascar,Africa,2015,38.73,1566.94,22.35,0.52,16.85,1496.61,5.01,43.70,3.52"
"Madagascar,Africa,2016,27.56,1244.67,22.31,0.51,17.41,1561.52,5.33,44.86,3.47"
"Madagascar,Africa,2017,38.55,1434.88,22.64,0.51,17.98,1546.88,4.80,46.04,3.44"
"Madagascar,Africa,2018,37.04,1497.42,22.42,0.50,18.57,1546.60,4.22,47.26,3.43"
"Madagascar,Africa,2019,35.73,1696.50,22.80,0.52,19.16,1612.30,3.10,48.50,3.89"
"Madagascar,Africa,2020,67.31,1244.86,22.60,0.50,19.77,1490.32,3.72,49.77,3.87"
"Madagascar,Africa,2021,78.77,1318.32,22.50,0.50,20.39,1577.43,3.55,51.03,3.85"
"Madagascar,Africa,2022,55.18,1454.67,22.11,0.49,21.02,1716.98,3.15,52.32,3.84"
"Madagascar,Africa,2023,91.13,1467.61,23.31,0.52,21.67,1808.45,3.43,53.62,3.85"
"Malawi,Africa,2015,218.64,939.88,22.27,0.41,13.56,1403.08,6.63,181.22,3.18"
"Malawi,Africa,2016,280.58,906.64,22.37,0.40,14.10,1409.96,7.73,186.23,3.14"
"Malawi,Africa,2017,279.99,1185.72,22.00,0.43,14.66,1380.23,7.58,191.34,3.11"
"Malawi,Africa,2018,323.29,1090.60,21.94,0.42,15.23,1363.79,6.88,196.52,3.04"
"Malawi,Africa,2019,275.38,1313.53,22.11,0.43,15.82,1450.01,6.37,201.80,3.37"
"Malawi,Africa,2020,362.36,995.05,22.19,0.41,16.42,1513.46,7.04,207.19,3.61"
"Malawi,Africa,2021,340.66,1153.82,21.98,0.42,17.04,1687.59,7.52,212.64,3.77"
"Malawi,Africa,2022,204.04,1490.30,21.59,0.41,17.68,1778.31,6.63,218.17,3.93"
"Malawi,Africa,2023,304.49,1198.15,22.24,0.42,17.93,1830.46,6.53,223.85,4.12"
"Mozambique,Africa,2015,304.08,846.54,24.16,0.55,18.51,1317.89,6.61,33.76,3.65"
"Mozambique,Africa,2016,348.22,904.51,24.33,0.54,19.41,1379.11,7.22,34.76,3.69"
"Mozambique,Africa,2017,345.30,1129.70,23.69,0.59,20.33,1282.75,7.81,35.82,3.74"
"Mozambique,Africa,2018,349.35,979.06,23.90,0.57,21.28,1325.59,7.98,36.90,4.09"
"Mozambique,Africa,2019,386.45,1087.23,24.15,0.58,22.26,1388.80,7.90,38.00,4.23"
"Mozambique,Africa,2020,367.68,842.30,24.16,0.55,23.26,1411.62,7.55,39.15,4.41"
"Mozambique,Africa,2021,318.40,968.28,23.85,0.57,24.29,1457.24,8.65,40.32,4.55"
"Mozambique,Africa,2022,379.33,1155.74,23.73,0.57,25.35,1581.94,8.25,41.53,4.68"
"Mozambique,Africa,2023,393.36,1077.72,24.48,0.59,26.44,1678.39,8.50,42.77,4.82"
"Nigeria,Africa,2015,44.58,1115.03,27.12,0.40,24.94,7307.84,3.58,209.35,4.00"
"Nigeria,Africa,2016,73.11,1208.53,27.31,0.42,25.52,7072.50,3.65,214.59,3.91"
"Nigeria,Africa,2017,68.52,1129.07,27.37,0.41,26.09,7036.67,3.75,219.87,3.85"
"Nigeria,Africa,2018,74.22,1311.38,27.16,0.42,26.66,7158.17,3.09,225.02,3.71"
"Nigeria,Africa,2019,98.54,1365.37,27.18,0.43,27.23,7551.39,2.99,230.01,3.57"
"Nigeria,Africa,2020,85.63,1213.04,27.30,0.43,27.79,7414.77,3.38,234.96,3.49"
"Nigeria,Africa,2021,97.59,1247.48,27.54,0.42,28.36,7588.48,4.08,239.94,3.43"
"Nigeria,Africa,2022,103.30,1210.25,26.92,0.40,28.91,8304.96,4.21,245.01,3.41"
"Nigeria,Africa,2023,105.75,1281.72,28.27,0.43,29.47,8705.43,4.19,250.21,3.40"
"Sao Tome and Principe,Africa,2015,10.31,1559.48,24.63,0.48,33.22,3171.51,6.53,208.64,1.97"
"Sao Tome and Principe,Africa,2016,11.01,1944.04,25.15,0.49,33.70,3319.54,7.60,212.18,1.88"
"Sao Tome and Principe,Africa,2017,10.81,2003.05,24.95,0.47,34.18,3436.31,7.47,215.59,1.79"
"Sao Tome and Principe,Africa,2018,13.92,2399.01,24.93,0.51,34.67,3941.03,5.92,218.94,1.74"
"Sao Tome and Principe,Africa,2019,12.70,2462.92,25.24,0.53,35.14,4655.48,5.48,222.28,1.71"
"Sao Tome and Principe,Africa,2020,8.89,2153.74,25.20,0.54,35.62,5144.54,7.32,226.49,2.07"
"Sao Tome and Principe,Africa,2021,12.25,2525.82,25.24,0.49,36.09,5732.69,7.86,231.21,2.25"
"Sao Tome and Principe,Africa,2022,17.54,1856.90,24.93,0.50,36.37,6033.68,5.77,235.73,2.23"
"Sao Tome and Principe,Africa,2023,10.17,2052.04,26.04,0.50,36.53,6149.98,5.77,240.49,2.34"
"Senegal,Africa,2015,33.77,719.16,28.43,0.34,24.43,2994.28,4.38,75.80,4.53"
"Senegal,Africa,2016,23.31,622.14,28.93,0.36,24.73,3101.12,4.26,78.09,4.65"
"Senegal,Africa,2017,25.66,634.62,28.93,0.35,25.04,3234.36,4.16,80.38,4.74"
"Senegal,Africa,2018,33.47,598.74,28.54,0.34,25.34,3380.22,4.43,82.66,4.80"
"Senegal,Africa,2019,21.76,561.26,28.79,0.34,25.65,3647.95,4.50,84.94,4.83"
"Senegal,Africa,2020,26.52,768.13,29.05,0.36,25.96,3752.92,5.15,87.20,4.84"
"Senegal,Africa,2021,31.17,665.78,29.21,0.36,26.26,4173.68,4.44,89.45,4.80"
"Senegal,Africa,2022,20.28,725.06,28.44,0.37,26.57,4530.22,4.04,91.68,4.77"
"Senegal,Africa,2023,10.49,678.64,28.83,0.37,26.88,4777.61,4.32,93.89,4.71"
"Sierra Leone,Africa,2015,206.83,2375.30,25.61,0.61,8.43,2560.05,12.38,97.50,3.40"
"Sierra Leone,Africa,2016,242.24,2722.14,25.92,0.60,8.69,2634.93,10.05,99.82,3.48"
"Sierra Leone,Africa,2017,220.51,2698.85,25.88,0.62,8.95,2501.45,6.01,102.23,3.55"
"Sierra Leone,Africa,2018,226.64,2404.12,25.69,0.62,9.22,2640.48,5.30,104.66,3.52"
"Sierra Leone,Africa,2019,308.13,2614.09,26.05,0.62,9.49,2704.06,5.71,107.12,3.50"
"Sierra Leone,Africa,2020,91.63,2423.04,26.05,0.60,9.77,2719.07,5.66,109.62,3.50"
"Sierra Leone,Africa,2021,241.38,2409.91,26.07,0.65,10.05,2849.39,5.07,112.14,3.47"
"Sierra Leone,Africa,2022,213.66,2228.06,25.93,0.60,10.33,3143.96,4.80,114.67,3.44"
"Sierra Leone,Africa,2023,247.05,2820.01,27.58,0.65,10.61,3368.32,4.72,117.21,3.41"
"South Africa,Africa,2015,0.90,337.92,18.60,0.33,69.31,5353.20,8.05,46.76,2.13"
"South Africa,Africa,2016,0.77,408.74,18.57,0.33,69.44,5729.00,8.08,47.20,1.04"
"South Africa,Africa,2017,4.10,430.93,18.10,0.34,69.55,6077.78,7.98,47.51,0.74"
"South Africa,Africa,2018,1.65,425.19,18.13,0.33,69.65,6648.99,8.08,48.32,1.76"
"South Africa,Africa,2019,0.82,394.17,18.96,0.32,69.73,7088.52,8.25,49.12,1.71"
"South Africa,Africa,2020,0.74,490.48,17.93,0.35,69.79,6969.47,9.02,49.92,1.66"
"South Africa,Africa,2021,0.48,552.42,17.53,0.36,69.61,8015.36,8.66,50.70,1.56"
"South Africa,Africa,2022,0.33,555.91,17.71,0.38,69.09,9129.60,8.75,51.42,1.46"
"South Africa,Africa,2023,0.84,480.14,21.25,0.37,68.55,10176.35,8.91,52.11,1.49"
"Togo,Africa,2015,219.95,1055.53,26.81,0.50,16.72,1879.67,6.25,140.89,3.62"
"Togo,Africa,2016,232.54,1287.65,27.06,0.50,17.21,1932.93,6.59,144.48,3.60"
"Togo,Africa,2017,228.17,1140.72,27.18,0.51,17.70,1985.53,6.50,148.14,3.57"
"Togo,Africa,2018,253.88,1273.72,26.78,0.52,18.21,2067.07,6.16,151.84,3.53"
"Togo,Africa,2019,297.70,1392.65,27.09,0.52,18.72,2214.70,5.91,155.60,3.49"
"Togo,Africa,2020,216.40,1227.67,27.14,0.51,19.23,2384.07,6.19,159.40,3.45"
"Togo,Africa,2021,207.85,1330.28,27.42,0.52,19.55,2638.81,5.62,163.24,3.41"
"Togo,Africa,2022,244.56,1311.49,26.86,0.51,19.88,2935.01,6.24,167.12,3.35"
"Togo,Africa,2023,254.47,1369.97,28.66,0.52,20.20,3154.43,6.11,171.07,3.53"
"Uganda,Africa,2015,193.92,1298.88,23.30,0.53,11.95,2189.96,5.00,187.17,6.26"
"Uganda,Africa,2016,245.55,1129.76,23.67,0.52,12.73,2165.30,5.02,193.49,6.15"
"Uganda,Africa,2017,283.43,1227.78,23.36,0.51,13.54,2157.96,4.00,200.37,6.25"
"Uganda,Africa,2018,134.78,1388.32,22.82,0.52,14.36,2312.06,4.02,207.29,6.07"
"Uganda,Africa,2019,315.85,1462.42,23.12,0.53,15.20,2441.37,3.79,214.44,5.97"
"Uganda,Africa,2020,367.30,1506.58,22.67,0.56,15.80,2532.22,5.24,221.71,5.83"
"Uganda,Africa,2021,312.27,1119.12,23.22,0.53,16.37,2684.92,5.47,228.96,5.63"
"Uganda,Africa,2022,405.50,1244.28,23.01,0.51,16.94,2919.18,4.45,235.95,5.34"
"Uganda,Africa,2023,328.19,1240.51,23.87,0.54,17.52,3097.64,4.24,242.65,5.05"
"United Republic of Tanzania,Africa,2015,95.18,992.15,22.87,0.49,21.04,2317.28,3.65,58.73,5.08"
"United Republic of Tanzania,Africa,2016,108.62,1011.36,22.85,0.49,22.51,2434.70,3.96,60.76,5.16"
"United Republic of Tanzania,Africa,2017,105.10,1002.55,22.95,0.49,24.03,2472.49,4.02,62.83,5.03"
"United Republic of Tanzania,Africa,2018,113.49,1188.11,22.39,0.50,25.58,2727.88,4.33,64.84,4.78"
"United Republic of Tanzania,Africa,2019,111.75,1229.42,22.91,0.50,27.16,2981.87,4.02,66.80,4.55"
"United Republic of Tanzania,Africa,2020,103.33,1305.22,22.46,0.53,28.57,3290.61,3.05,68.83,4.50"
"United Republic of Tanzania,Africa,2021,73.52,980.44,22.56,0.50,29.26,3493.08,3.47,70.93,4.45"
"United Republic of Tanzania,Africa,2022,56.48,1302.46,22.52,0.48,29.95,3799.86,3.13,73.05,4.32"
"United Republic of Tanzania,Africa,2023,56.49,1211.03,22.86,0.51,30.64,4018.52,3.05,75.21,4.76"
"Zimbabwe,Africa,2015,44.55,450.78,21.80,0.45,27.24,4045.90,7.45,37.22,2.53"
"Zimbabwe,Africa,2016,28.66,707.31,21.97,0.44,27.02,4275.45,7.26,37.74,2.92"
"Zimbabwe,Africa,2017,42.02,881.81,20.78,0.50,26.80,10756.45,6.17,38.29,3.25"
"Zimbabwe,Africa,2018,23.41,641.26,21.52,0.46,26.59,3992.89,4.67,38.86,3.50"
"Zimbabwe,Africa,2019,26.72,488.01,22.26,0.43,26.39,4165.56,3.23,39.48,3.73"
"Zimbabwe,Africa,2020,36.59,743.95,21.47,0.43,26.20,4178.59,2.95,40.14,3.92"
"Zimbabwe,Africa,2021,10.70,621.98,21.07,0.48,26.02,4827.09,2.67,40.84,4.02"
"Zimbabwe,Africa,2022,11.15,626.64,21.00,0.50,25.82,5395.86,3.40,41.54,3.89"
"Zimbabwe,Africa,2023,19.13,582.72,22.09,0.47,25.64,5791.19,2.93,42.24,3.18"
"Bangladesh,Asia,2015,2.36,2601.98,24.87,0.52,56.44,4212.24,2.27,1224.42,2.07"
"Bangladesh,Asia,2016,1.63,2384.91,25.32,0.53,56.85,4579.13,2.39,1235.40,2.02"
"Bangladesh,Asia,2017,1.70,3139.71,24.95,0.53,57.28,4882.61,2.37,1245.96,1.94"
"Bangladesh,Asia,2018,0.60,2064.80,24.84,0.53,57.72,5490.16,2.32,1256.23,1.86"
"Bangladesh,Asia,2019,0.98,2488.81,25.14,0.55,58.18,6047.12,2.13,1266.91,1.84"
"Bangladesh,Asia,2020,0.34,2588.47,24.86,0.53,58.66,6640.58,2.18,1277.54,1.79"
"Bangladesh,Asia,2021,0.40,2322.94,25.24,0.52,59.15,7441.07,2.27,1288.00,1.72"
"Bangladesh,Asia,2022,1.00,2049.23,25.03,0.54,59.16,8450.55,2.22,1300.36,1.89"
"Bangladesh,Asia,2023,0.90,2126.24,23.56,0.54,59.14,9147.78,2.17,1319.18,2.74"
"Bhutan,Asia,2015,0.06,1011.42,8.68,0.56,47.10,10213.81,3.44,19.43,2.57"
"Bhutan,Asia,2016,0.03,842.64,9.40,0.56,50.51,11273.28,3.28,19.61,2.53"
"Bhutan,Asia,2017,0.02,943.08,9.21,0.56,53.93,11677.41,3.11,19.78,2.43"
"Bhutan,Asia,2018,0.01,804.46,8.76,0.56,57.27,11969.56,3.07,19.92,2.29"
"Bhutan,Asia,2019,0.00,829.91,8.80,0.56,60.59,12909.10,3.38,20.05,2.23"
"Bhutan,Asia,2020,0.04,916.66,8.93,0.55,63.62,12475.05,4.08,20.19,2.23"
"Bhutan,Asia,2021,0.02,794.23,9.37,0.56,66.62,13458.81,4.79,20.33,2.25"
"Bhutan,Asia,2022,0.00,864.77,9.04,0.56,67.78,15063.81,3.92,20.47,2.25"
"Bhutan,Asia,2023,0.00,746.84,5.31,0.58,66.65,16215.15,4.42,20.62,2.63"
"India,Asia,2015,0.96,1088.75,24.72,0.46,61.23,5425.04,3.60,446.67,2.18"
"India,Asia,2016,0.88,1204.02,25.09,0.43,62.90,5800.48,3.50,452.02,2.16"
"India,Asia,2017,0.68,1227.51,24.95,0.45,64.57,6144.72,2.94,457.31,2.12"
"India,Asia,2018,0.34,1153.20,24.85,0.43,66.25,6714.97,2.86,462.35,2.05"
"India,Asia,2019,0.26,1306.95,24.70,0.45,67.93,7150.92,2.95,467.19,1.98"
"India,Asia,2020,0.14,1349.87,24.38,0.48,69.63,6966.28,3.34,471.76,1.90"
"India,Asia,2021,0.12,1286.00,24.48,0.47,71.32,8050.02,3.35,475.65,1.74"
"India,Asia,2022,0.13,1296.50,24.56,0.48,73.03,9207.13,3.40,479.43,1.69"
"India,Asia,2023,0.17,1104.90,22.75,0.48,74.73,10323.50,3.34,483.68,1.78"
"Indonesia,Asia,2015,0.84,2298.87,24.53,0.68,28.33,10027.54,2.92,139.44,2.39"
"Indonesia,Asia,2016,0.83,3250.40,24.72,0.70,28.62,10262.60,3.02,140.95,2.27"
"Indonesia,Asia,2017,0.99,3426.07,24.43,0.68,28.91,10687.64,2.90,142.39,2.21"
"Indonesia,Asia,2018,0.83,2798.05,24.46,0.68,29.20,11372.10,2.87,143.78,2.14"
"Indonesia,Asia,2019,0.92,2469.54,24.67,0.69,29.49,11986.47,2.88,145.13,2.10"
"Indonesia,Asia,2020,0.92,3109.73,24.61,0.69,29.77,11729.37,3.42,146.37,1.81"
"Indonesia,Asia,2021,1.10,3335.62,24.47,0.69,30.05,12757.07,3.71,146.24,1.76"
"Indonesia,Asia,2022,1.59,3457.79,24.42,0.69,30.33,14284.93,2.69,147.33,1.83"
"Indonesia,Asia,2023,1.49,2724.17,24.41,0.69,30.40,15415.71,2.70,148.58,1.92"
"Myanmar,Asia,2015,5.82,2077.44,22.72,0.61,51.27,4458.69,5.20,78.23,1.14"
"Myanmar,Asia,2016,3.49,2113.29,23.00,0.61,52.81,4459.54,4.76,78.89,1.12"
"Myanmar,Asia,2017,2.68,2187.00,22.78,0.63,54.38,4706.43,4.69,79.50,1.08"
"Myanmar,Asia,2018,2.39,2136.29,22.48,0.61,55.96,5581.28,4.54,80.09,1.02"
"Myanmar,Asia,2019,1.75,1850.02,23.12,0.63,57.57,6101.37,3.81,80.65,0.98"
"Myanmar,Asia,2020,1.27,1917.58,23.10,0.62,58.82,5740.99,4.28,81.23,0.98"
"Myanmar,Asia,2021,1.70,2029.99,23.05,0.62,59.50,5178.45,5.54,81.80,0.95"
"Myanmar,Asia,2022,3.36,1975.20,22.79,0.64,59.57,5731.94,4.49,82.36,0.94"
"Myanmar,Asia,2023,4.85,1988.91,22.66,0.62,59.65,5953.36,4.46,82.94,0.93"
"Nepal,Asia,2015,0.08,1361.62,12.11,0.49,25.47,2957.31,5.47,194.10,1.14"
"Nepal,Asia,2016,0.06,1500.14,13.08,0.48,23.96,2976.13,5.42,195.02,0.99"
"Nepal,Asia,2017,0.08,1328.87,12.60,0.49,22.43,3604.71,4.72,195.40,0.64"
"Nepal,Asia,2018,0.06,1475.54,12.45,0.48,20.88,3956.12,4.53,195.88,0.60"
"Nepal,Asia,2019,0.02,1390.92,12.06,0.49,19.30,4260.67,4.45,198.21,1.45"
"Nepal,Asia,2020,0.01,1531.66,11.94,0.48,17.70,4235.57,5.21,202.07,2.10"
"Nepal,Asia,2021,0.00,1609.23,12.47,0.47,16.07,4546.23,5.53,205.62,1.80"
"Nepal,Asia,2022,0.00,1399.15,12.52,0.51,16.21,5102.99,6.53,207.29,1.05"
"Nepal,Asia,2023,0.00,1228.13,8.53,0.50,16.35,5395.21,6.16,207.15,0.30"
